file_name,label_id,label_name,source_index
img_000000_label06_idx021333.png,6,art_nouveau,21333
img_000001_label00_idx037930.png,0,impressionism,37930
img_000002_label08_idx047105.png,8,ukiyo_e,47105
img_000003_label09_idx003378.png,9,renaissance,3378
img_000004_label00_idx038576.png,0,impressionism,38576
img_000005_label07_idx041029.png,7,surrealism,41029
img_000006_label04_idx047754.png,4,baroque,47754
img_000007_label01_idx007825.png,1,realism,7825
img_000008_label07_idx035503.png,7,surrealism,35503
img_000009_label03_idx020519.png,3,expressionism,20519
img_000010_label00_idx008439.png,0,impressionism,8439
img_000011_label04_idx049485.png,4,baroque,49485
img_000012_label04_idx048805.png,4,baroque,48805
img_000013_label05_idx039408.png,5,post_impressionism,39408
img_000014_label02_idx022653.png,2,romanticism,22653
img_000015_label01_idx008145.png,1,realism,8145
img_000016_label07_idx030756.png,7,surrealism,30756
img_000017_label09_idx034467.png,9,renaissance,34467
img_000018_label08_idx005594.png,8,ukiyo_e,5594
img_000019_label07_idx012019.png,7,surrealism,12019
img_000020_label02_idx043384.png,2,romanticism,43384
img_000021_label04_idx033290.png,4,baroque,33290
img_000022_label03_idx027584.png,3,expressionism,27584
img_000023_label09_idx009982.png,9,renaissance,9982
img_000024_label09_idx017770.png,9,renaissance,17770
img_000025_label04_idx045424.png,4,baroque,45424
img_000026_label01_idx046501.png,1,realism,46501
img_000027_label05_idx014749.png,5,post_impressionism,14749
img_000028_label02_idx015957.png,2,romanticism,15957
img_000029_label06_idx004103.png,6,art_nouveau,4103
img_000030_label03_idx017254.png,3,expressionism,17254
img_000031_label09_idx037619.png,9,renaissance,37619
img_000032_label08_idx010083.png,8,ukiyo_e,10083
img_000033_label02_idx035959.png,2,romanticism,35959
img_000034_label01_idx025968.png,1,realism,25968
img_000035_label06_idx026131.png,6,art_nouveau,26131
img_000036_label00_idx034425.png,0,impressionism,34425
img_000037_label04_idx024440.png,4,baroque,24440
img_000038_label06_idx033747.png,6,art_nouveau,33747
img_000039_label08_idx006108.png,8,ukiyo_e,6108
img_000040_label04_idx009186.png,4,baroque,9186
img_000041_label03_idx027487.png,3,expressionism,27487
img_000042_label01_idx011937.png,1,realism,11937
img_000043_label09_idx002614.png,9,renaissance,2614
img_000044_label02_idx044283.png,2,romanticism,44283
img_000045_label06_idx029379.png,6,art_nouveau,29379
img_000046_label03_idx022107.png,3,expressionism,22107
img_000047_label08_idx038531.png,8,ukiyo_e,38531
img_000048_label05_idx022200.png,5,post_impressionism,22200
img_000049_label08_idx033837.png,8,ukiyo_e,33837
img_000050_label03_idx047860.png,3,expressionism,47860
img_000051_label05_idx035170.png,5,post_impressionism,35170
img_000052_label01_idx012072.png,1,realism,12072
img_000053_label06_idx009879.png,6,art_nouveau,9879
img_000054_label06_idx043171.png,6,art_nouveau,43171
img_000055_label09_idx047287.png,9,renaissance,47287
img_000056_label01_idx039569.png,1,realism,39569
img_000057_label04_idx023884.png,4,baroque,23884
img_000058_label02_idx033426.png,2,romanticism,33426
img_000059_label08_idx041633.png,8,ukiyo_e,41633
img_000060_label08_idx009342.png,8,ukiyo_e,9342
img_000061_label02_idx046674.png,2,romanticism,46674
img_000062_label06_idx003173.png,6,art_nouveau,3173
img_000063_label08_idx006035.png,8,ukiyo_e,6035
img_000064_label03_idx032993.png,3,expressionism,32993
img_000065_label06_idx039306.png,6,art_nouveau,39306
img_000066_label01_idx040515.png,1,realism,40515
img_000067_label05_idx026614.png,5,post_impressionism,26614
img_000068_label08_idx038889.png,8,ukiyo_e,38889
img_000069_label04_idx033985.png,4,baroque,33985
img_000070_label09_idx045666.png,9,renaissance,45666
img_000071_label08_idx033304.png,8,ukiyo_e,33304
img_000072_label06_idx031595.png,6,art_nouveau,31595
img_000073_label05_idx023212.png,5,post_impressionism,23212
img_000074_label01_idx001917.png,1,realism,1917
img_000075_label04_idx038990.png,4,baroque,38990
img_000076_label03_idx002005.png,3,expressionism,2005
img_000077_label03_idx022881.png,3,expressionism,22881
img_000078_label03_idx025860.png,3,expressionism,25860
img_000079_label05_idx047608.png,5,post_impressionism,47608
img_000080_label04_idx013701.png,4,baroque,13701
img_000081_label03_idx026377.png,3,expressionism,26377
img_000082_label01_idx017052.png,1,realism,17052
img_000083_label06_idx008898.png,6,art_nouveau,8898
img_000084_label05_idx037130.png,5,post_impressionism,37130
img_000085_label02_idx041069.png,2,romanticism,41069
img_000086_label03_idx000902.png,3,expressionism,902
img_000087_label00_idx037692.png,0,impressionism,37692
img_000088_label07_idx013316.png,7,surrealism,13316
img_000089_label04_idx006375.png,4,baroque,6375
img_000090_label06_idx012727.png,6,art_nouveau,12727
img_000091_label09_idx040271.png,9,renaissance,40271
img_000092_label08_idx025644.png,8,ukiyo_e,25644
img_000093_label00_idx041833.png,0,impressionism,41833
img_000094_label01_idx019968.png,1,realism,19968
img_000095_label07_idx031897.png,7,surrealism,31897
img_000096_label03_idx035003.png,3,expressionism,35003
img_000097_label09_idx044712.png,9,renaissance,44712
img_000098_label02_idx020524.png,2,romanticism,20524
img_000099_label02_idx027982.png,2,romanticism,27982
img_000100_label00_idx014908.png,0,impressionism,14908
img_000101_label09_idx040291.png,9,renaissance,40291
img_000102_label09_idx006083.png,9,renaissance,6083
img_000103_label05_idx026677.png,5,post_impressionism,26677
img_000104_label02_idx018142.png,2,romanticism,18142
img_000105_label00_idx039260.png,0,impressionism,39260
img_000106_label02_idx019257.png,2,romanticism,19257
img_000107_label01_idx039667.png,1,realism,39667
img_000108_label03_idx001136.png,3,expressionism,1136
img_000109_label00_idx028300.png,0,impressionism,28300
img_000110_label08_idx035702.png,8,ukiyo_e,35702
img_000111_label09_idx040861.png,9,renaissance,40861
img_000112_label06_idx019327.png,6,art_nouveau,19327
